1: 110, 25Q6K
353: 193, 474A7
354: 85, 48854
355: 245, 49K4K
356: 77, 4T42T
357: 5, 4T4QQ
358: 299, 4QTQT
359: 875, 4QKK4
360: 226, 53577
361: 255, 53993
362: 646, 54225
363: 611, 54542
364: 120, 55646
365: 683, 55Q6Q
366: 217, 56AA6
367: 720, 58533
368: 152, 58778
369: 256, 59925
370: 197, 5T5TK
371: 889, 63365
372: 994, 63399
373: 807, 6556A
374: 3, 66323
375: 871, 66343
376: 794, 67746
377: 983, 68262
378: 529, 68A6A
379: 248, 6T226
380: 737, 6T4T4
381: 905, 6Q6QA
382: 914, 6QQ96
383: 59, 6K8K8
384: 870, 6AQQA
385: 926, 72275
386: 318, 73376
387: 115, 74Q4Q
388: 391, 75997
389: 644, 76363
390: 826, 76687
391: 576, 79669
392: 430, 7T4T4
393: 150, 7T97T
394: 716, 7QA7A
395: 530, 7KA7K
396: 765, 7A72A
397: 796, 8338K
398: 315, 88T77
399: 605, 88K2K
400: 966, 89589
401: 751, 898A9
402: 861, 89K89
403: 866, 8Q585
404: 562, 93T3T
405: 961, 99323
406: 740, 993K3
407: 259, 994AA
408: 159, 99646
409: 510, 9KTK9
410: 541, T4TA4
411: 944, T6T99
412: 322, T85T8
413: 275, TA77T
414: 443, TAA3T
415: 785, Q22Q6
416: 66, Q282Q
417: 7, Q2Q42
418: 559, Q33Q6
419: 6, Q343Q
420: 309, Q44TT
421: 657, Q4664
422: 932, Q54Q5
423: 136, Q7447
424: 262, Q98Q9
425: 746, Q9T9Q
426: 992, QT66T
427: 164, QQ6T6
428: 620, QQ6KK
429: 339, K29K9
430: 670, K2K2T
431: 815, K3K39
432: 963, K45K5
433: 360, K4K22
434: 490, K6AKA
435: 55, K6AA6
436: 403, K75K5
437: 181, K99QQ
438: 733, KQ6Q6
439: 809, KK9AA
440: 745, A2288
441: 649, A355A
442: 885, A3Q3A
443: 755, A4KAK
444: 27, A7799
445: 706, A9A59
446: 69, ATT8A
447: 340, ATT9A
448: 634, AA644
449: 332, JJ2QT
450: 738, JJ897
451: 587, JJ8AK
452: 236, JJK4A
453: 528, JJA59
454: 637, J22KA
455: 913, J29AA
456: 731, J373Q
457: 829, J55TQ
458: 730, J5K8K
459: 251, J6QQ4
460: 452, J6A44
461: 379, J6AKA
462: 419, J73JA
463: 43, J78TT
464: 941, J7988
465: 516, J7T6T
466: 149, J7A4A
467: 725, J882Q
468: 56, J884A
469: 40, J9J8T
470: 764, JTKJ6
471: 363, JTKT3
472: 416, JK663
473: 9, JA696
474: 879, JA8AT
475: 98, JAAQT
476: 947, 2JJ43
477: 956, 2J248
478: 676, 2J2AQ
479: 41, 2JKJ4
480: 428, 222A3
481: 109, 22325
482: 223, 22A28
483: 292, 23J39
484: 408, 23272
485: 367, 266Q6
486: 663, 27252
487: 810, 28886
488: 593, 288A8
489: 517, 28Q22
490: 594, 2TJ23
491: 261, 2QJJ7
492: 278, 2Q224
493: 145, 2K22Q
494: 352, 2KKK5
495: 505, 3J8J2
496: 73, 3J84J
497: 547, 3JK44
498: 404, 33JKT
499: 96, 33453
500: 333, 33934
501: 508, 37J32
502: 675, 37335
503: 554, 37Q33
504: 682, 38J37
505: 849, 39JK3
506: 4, 39666
507: 151, 3T338
508: 465, 3T7JT
509: 877, 3QJ38
510: 12, 3QJ5J
511: 602, 3QT3J
512: 935, 3K334
513: 942, 3A23J
514: 218, 3A633
515: 760, 3A7JA
516: 132, 4J3TT
517: 212, 4J8J2
518: 448, 42J2Q
519: 585, 42434
520: 790, 42449
521: 76, 42844
522: 58, 43A44
523: 393, 444T3
524: 249, 44634
525: 820, 44864
526: 713, 44QT4
527: 406, 44K48
528: 47, 46626
529: 674, 477TJ
530: 812, 47A44
531: 948, 4854J
532: 260, 48QQQ
533: 112, 49399
534: 575, 4999Q
535: 727, 4T4J2
536: 632, 4Q4JK
537: 39, 4Q8J4
538: 814, 4A2AA
539: 883, 5J597
540: 762, 5JQ95
541: 615, 548J5
542: 118, 5546J
543: 431, 556Q5
544: 16, 55AJ2
545: 518, 56KJK
546: 828, 577J4
547: 174, 58J59
548: 42, 5T4J4
549: 533, 5T52J
550: 884, 5A5T5
551: 723, 5AQJQ
552: 709, 6J76K
553: 776, 63222
554: 460, 64999
555: 108, 6595J
556: 572, 65TTT
557: 557, 66J79
558: 789, 663K6
559: 232, 66569
560: 595, 66976
561: 759, 68T88
562: 839, 69664
563: 893, 69668
564: 997, 69959
565: 665, 6Q22J
566: 494, 6Q566
567: 857, 6KJ44
568: 207, 6K668
569: 654, 6AJ2A
570: 336, 7J35J
571: 521, 7J372
572: 483, 7J3A3
573: 934, 7J728
574: 312, 7J75Q
575: 775, 727A7
576: 388, 73A7J
577: 268, 74J88
578: 582, 75559
579: 959, 75779
580: 158, 76787
581: 971, 76Q77
582: 51, 77792
583: 660, 77793
584: 470, 777KA
585: 106, 77827
586: 800, 77KJ8
587: 513, 7TATT
588: 302, 7Q5QQ
589: 586, 7QA77
590: 822, 7KKK2
591: 868, 7KKKA
592: 598, 8J53J
593: 503, 8JAQA
594: 240, 82J66
595: 972, 82878
596: 551, 8388Q
597: 13, 83Q33
598: 178, 86667
599: 525, 86838
600: 355, 878JT
601: 62, 883T8
602: 424, 88K48
603: 235, 88A48
604: 924, 89J77
605: 768, 89Q88
606: 566, 8QJ55
607: 444, 8A88K
608: 705, 92226
609: 54, 92666
610: 413, 93A33
611: 996, 9666Q
612: 779, 97TTJ
613: 294, 99963
614: 201, 9Q222
615: 610, 9Q959
616: 891, 9KJ22
617: 289, 9KJ79
618: 964, 9KA99
619: 912, 9AJ89
620: 257, 9A3JJ
621: 696, TJ9QQ
622: 398, T2TT4
623: 844, T3TJ9
624: 445, T3TTA
625: 177, T3AAA
626: 462, T5455
627: 704, T6636
628: 823, T69JT
629: 817, T7JKJ
630: 71, T8JTA
631: 797, T99J7
632: 580, T9TT4
633: 87, TT6AT
634: 686, TTT98
635: 147, TTTK9
636: 693, TQJ8T
637: 265, TKK6K
638: 131, TKKK3
639: 728, TKATT
640: 449, QJJAK
641: 886, QJ886
642: 293, QJ9Q5
643: 938, Q2KJK
644: 208, Q3393
645: 979, Q4T4J
646: 898, Q55J7
647: 862, Q59QQ
648: 122, Q5TJT
649: 965, Q6J76
650: 848, Q6222
651: 189, Q6444
652: 536, Q656J
653: 552, Q7577
654: 538, Q866J
655: 777, Q9939
656: 955, QTJT9
657: 405, QT888
658: 328, QQ2Q7
659: 783, QQTAJ
660: 542, QQA4J
661: 455, QKQJA
662: 750, QAJA6
663: 645, QA9QQ
664: 936, QAQQK
665: 732, KJ3K2
666: 330, KJ665
667: 300, K2J44
668: 673, K5QKJ
669: 141, K77T7
670: 337, K7TTT
671: 767, K8885
672: 604, K8KKA
673: 325, K949J
674: 99, K9599
675: 681, KTJTQ
676: 477, KQ7JQ
677: 781, KQKAK
678: 427, KKK29
679: 968, KKA9K
680: 253, KAK4K
681: 138, AJ2A3
682: 442, AJ443
683: 652, AJT44
684: 390, A2KAA
685: 778, A4AJT
686: 630, A5999
687: 847, A6TJT
688: 272, A9299
689: 63, AT2AA
690: 376, ATA6A
691: 943, ATAA8
692: 116, AQQQ7
693: 423, AQQQ8
694: 690, AA23A
695: 213, AA2TJ
696: 227, AA36A
697: 104, AA3AQ
698: 139, AA4AQ
699: 383, AAAKQ
700: 954, J22TT
701: 780, J2AA2
702: 67, J6A6A
703: 425, J77KK
704: 846, J9797
705: 124, JAQQA
706: 512, 2J442
707: 297, 22266
708: 601, 22525
709: 287, 22727
710: 375, 22999
711: 228, 23J23
712: 341, 23322
713: 308, 23323
714: 107, 24244
715: 198, 28288
716: 57, 2T2TT
717: 119, 3JQQ3
718: 273, 3JAA3
719: 626, 33993
720: 854, 35335
721: 793, 35535
722: 282, 36363
723: 522, 388J3
724: 277, 39939
725: 346, 3QQ3Q
726: 374, 4334J
727: 101, 44QQQ
728: 167, 44AA4
729: 397, 49994
730: 230, 52255
731: 143, 54J45
732: 371, 55888
733: 433, 55KKK
734: 714, 58585
735: 668, 5TT5T
736: 385, 5KJ5K
737: 906, 6J633
738: 553, 62266
739: 568, 63636
740: 94, 64446
741: 590, 66556
742: 920, 66888
743: 323, 66K6K
744: 524, 68866
745: 980, 6969J
746: 252, 69966
747: 638, 6T6T6
748: 203, 6T6TT
749: 739, 6TT6J
750: 609, 6Q6Q6
751: 627, 6AA66
752: 650, 72277
753: 75, 73337
754: 708, 74774
755: 658, 75575
756: 774, 75577
757: 986, 77J22
758: 603, 77JTT
759: 858, 77337
760: 239, 77997
761: 439, 79799
762: 804, 7QQQ7
763: 901, 82J28
764: 757, 82228
765: 451, 87788
766: 950, 88333
767: 581, 888TT
768: 469, 8Q8QQ
769: 384, 8A8A8
770: 103, 8AAA8
771: 176, 92292
772: 148, 94944
773: 286, 95599
774: 685, 98998
775: 88, 9988J
776: 219, 99888
777: 748, 99A9A
778: 74, 9T9TT
779: 916, 9KK9K
780: 386, TJT33
781: 977, T55TJ
782: 993, T77T7
783: 664, T8T8T
784: 608, TT222
785: 845, TTQQQ
786: 808, TQTQT
787: 653, TKKTT
788: 222, Q22QQ
789: 185, Q5Q5J
790: 896, Q888Q
791: 195, QQQ55
792: 754, QQAAQ
793: 692, QKQKQ
794: 677, K44KK
795: 204, K4K44
796: 399, K5K55
797: 25, K88K8
798: 867, K8K8K
799: 327, K999K
800: 824, KK777
801: 285, KKQJQ
802: 770, KKK22
803: 244, KKKQQ
804: 291, KAKAK
805: 329, A5A55
806: 354, ATAAT
807: 927, AA33A
808: 14, AA6A6
809: 976, AA99A
810: 65, AATJT
811: 592, JJQQK
812: 933, J2J42
813: 504, J2228
814: 899, J226J
815: 573, J22T2
816: 647, J2AAJ
817: 162, J333T
818: 175, J34J4
819: 370, J3666
820: 788, J399J
821: 600, J4TJT
822: 137, J4KKK
823: 45, J5565
824: 834, J5575
825: 305, J6266
826: 952, J6669
827: 564, J787J
828: 387, J8838
829: 157, J9333
830: 923, J99A9
831: 496, JT2TJ
832: 480, JTATT
833: 129, JQ5QJ
834: 930, JQ777
835: 506, 2JJ2K
836: 224, 2JA22
837: 577, 22J52
838: 144, 22223
839: 46, 22225
840: 169, 2222Q
841: 549, 22422
842: 121, 22622
843: 488, 227J2
844: 221, 22722
845: 415, 22T22
846: 795, 22A22
847: 314, 23333
848: 908, 2888J
849: 874, 29999
850: 684, 2TTJT
851: 534, 2AAAA
852: 643, 3J353
853: 982, 33J32
854: 803, 333J8
855: 700, 333JA
856: 578, 33335
857: 599, 33633
858: 718, 33733
859: 146, 33T33
860: 188, 3QQQJ
861: 279, 3KKKK
862: 246, 4JJ48
863: 702, 44J5J
864: 863, 44446
865: 500, 4444Q
866: 661, 4444K
867: 540, 444T4
868: 456, 44544
869: 773, 46J44
870: 60, 46666
871: 561, 494J4
872: 216, 4QQQQ
873: 78, 4A444
874: 301, 5J55T
875: 356, 5JAAA
876: 717, 53555
877: 579, 54555
878: 945, 55255
879: 113, 55559
880: 872, 5555A
881: 202, 555T5
882: 756, 55Q55
883: 184, 5K555
884: 545, 6J222
885: 68, 66JTJ
886: 574, 66266
887: 34, 66366
888: 735, 666J8
889: 472, 666JT
890: 726, 666JK
891: 70, 6665J
892: 910, 66665
893: 206, 66668
894: 412, 6666K
895: 102, 66676
896: 353, 66696
897: 191, 666Q6
898: 694, 6QQQQ
899: 667, 7J7T7
900: 19, 77737
901: 894, 77747
902: 342, 77757
903: 928, 777T7
904: 410, 77877
905: 298, 78888
906: 507, 7Q777
907: 400, 8J9J9
908: 29, 868JJ
909: 372, 88J3J
910: 93, 88J8Q
911: 492, 88828
912: 613, 88838
913: 48, 88848
914: 36, 88868
915: 269, 88885
916: 166, 88988
917: 962, 8T888
918: 743, 8QQQJ
919: 475, 9J959
920: 450, 93333
921: 763, 94444
922: 364, 9929J
923: 288, 99899
924: 922, 99959
925: 459, 99979
926: 895, 9Q999
927: 703, 9QQQQ
928: 220, 9KKJK
929: 641, 9KKKK
930: 769, 9AAAA
931: 229, TJTT3
932: 187, T8TJT
933: 21, TTJJK
934: 378, TT2TT
935: 23, TT9TT
936: 422, TTT4T
937: 126, TTTT7
938: 154, TTTT8
939: 907, TTQTT
940: 801, TKJKK
941: 860, QJJJT
942: 819, QJQ4Q
943: 840, Q22J2
944: 909, Q444J
945: 473, Q5QQQ
946: 350, Q7JQQ
947: 114, Q7QQQ
948: 527, QQTQQ
949: 509, QQQQ2
950: 8, QQQQ3
951: 851, QQQQ8
952: 633, QQAQQ
953: 722, QKKKK
954: 827, KJ4JK
955: 283, KJK6K
956: 625, K2JJK
957: 238, K22J2
958: 734, K7777
959: 989, K9J99
960: 310, KQQQQ
961: 662, KK4KK
962: 215, KKK8K
963: 741, KKKK5
964: 453, KKKK7
965: 697, KKAKK
966: 447, AJ555
967: 498, AJAA6
968: 22, A3333
969: 543, ATTTT
970: 882, AA5AA
971: 254, AAAQA
972: 476, AAAA7
973: 17, AAAA8
974: 940, AAAAT
975: 666, JJJJJ
976: 589, JJ8JJ
977: 81, J4444
978: 805, J6J66
979: 418, J999J
980: 836, JQQJQ
981: 250, 2J22J
982: 270, 2222J
983: 890, 3J3J3
984: 50, 3333J
985: 672, 44J4J
986: 853, 5J55J
987: 711, 5J555
988: 502, 6J666
989: 787, 777JJ
990: 173, 777J7
991: 701, 88J8J
992: 326, 8888J
993: 377, 99J99
994: 199, TJTTJ
995: 501, TTJTT
996: 761, QQQQJ
997: 161, KJKKJ
998: 281, KKKKJ
999: 724, AJAAA
1000: 26, AAJAJ
