1: 678, 23K7J
248: 123, 49A98
249: 727, 4T4J2
250: 132, 4J3TT
251: 212, 4J8J2
252: 835, 4Q294
253: 632, 4Q4JK
254: 39, 4Q8J4
255: 31, 4Q8Q9
256: 402, 4KQ3Q
257: 878, 4A766
258: 1, 52623
259: 295, 53528
260: 271, 53676
261: 615, 548J5
262: 531, 54T84
263: 118, 5546J
264: 407, 55984
265: 491, 55K67
266: 16, 55AJ2
267: 799, 566QK
268: 518, 56KJK
269: 623, 57332
270: 828, 577J4
271: 434, 586KK
272: 174, 58J59
273: 313, 5957T
274: 142, 5T443
275: 42, 5T4J4
276: 533, 5T52J
277: 381, 5T737
278: 883, 5J597
279: 762, 5JQ95
280: 2, 5Q66T
281: 234, 5K33A
282: 736, 5A2K2
283: 723, 5AQJQ
284: 639, 62A28
285: 334, 63TQQ
286: 359, 646A3
287: 497, 64Q84
288: 331, 655A4
289: 108, 6595J
290: 168, 65KK3
291: 128, 66T34
292: 557, 66J79
293: 753, 6846A
294: 946, 6T256
295: 709, 6J76K
296: 665, 6Q22J
297: 1000, 6Q568
298: 648, 6K56T
299: 857, 6KJ44
300: 487, 6A79A
301: 654, 6AJ2A
302: 636, 72294
303: 280, 73K47
304: 388, 73A7J
305: 268, 74J88
306: 171, 7527A
307: 902, 76Q6A
308: 656, 76K8K
309: 800, 77KJ8
310: 304, 77KAT
311: 818, 79433
312: 881, 79869
313: 196, 7T55K
314: 336, 7J35J
315: 521, 7J372
316: 483, 7J3A3
317: 934, 7J728
318: 312, 7J75Q
319: 33, 7QQ6T
320: 719, 7K343
321: 38, 7K7Q4
322: 240, 82J66
323: 44, 852K5
324: 429, 85657
325: 355, 878JT
326: 72, 88A2K
327: 163, 88A59
328: 606, 899Q7
329: 924, 89J77
330: 742, 89K7K
331: 598, 8J53J
332: 503, 8JAQA
333: 366, 8QTT7
334: 566, 8QJ55
335: 468, 92585
336: 619, 94426
337: 695, 9588K
338: 892, 97858
339: 779, 97TTJ
340: 365, 98T82
341: 919, 9T943
342: 687, 9T982
343: 837, 9Q56Q
344: 567, 9Q5QA
345: 821, 9QQ53
346: 891, 9KJ22
347: 289, 9KJ79
348: 257, 9A3JJ
349: 912, 9AJ89
350: 844, T3TJ9
351: 111, T57K7
352: 264, T63A6
353: 823, T69JT
354: 192, T6T75
355: 817, T7JKJ
356: 71, T8JTA
357: 911, T9383
358: 79, T9722
359: 797, T99J7
360: 629, TT39K
361: 696, TJ9QQ
362: 786, TQ353
363: 693, TQJ8T
364: 616, TA969
365: 637, J22KA
366: 913, J29AA
367: 731, J373Q
368: 829, J55TQ
369: 730, J5K8K
370: 251, J6QQ4
371: 452, J6A44
372: 379, J6AKA
373: 419, J73JA
374: 43, J78TT
375: 941, J7988
376: 516, J7T6T
377: 149, J7A4A
378: 725, J882Q
379: 56, J884A
380: 40, J9J8T
381: 363, JTKT3
382: 764, JTKJ6
383: 332, JJ2QT
384: 738, JJ897
385: 587, JJ8AK
386: 236, JJK4A
387: 528, JJA59
388: 416, JK663
389: 9, JA696
390: 879, JA8AT
391: 98, JAAQT
392: 499, Q28Q4
393: 985, Q2T72
394: 938, Q2KJK
395: 276, Q3994
396: 973, Q3Q57
397: 979, Q4T4J
398: 898, Q55J7
399: 565, Q5T75
400: 122, Q5TJT
401: 873, Q622A
402: 536, Q656J
403: 965, Q6J76
404: 859, Q6KTT
405: 642, Q6KQ5
406: 939, Q7366
407: 538, Q866J
408: 583, Q9829
409: 955, QTJT9
410: 988, QTA6T
411: 886, QJ886
412: 293, QJ9Q5
413: 449, QJJAK
414: 782, QQ235
415: 838, QQ35K
416: 461, QQ8A7
417: 783, QQTAJ
418: 542, QQA4J
419: 455, QKQJA
420: 791, QA6AT
421: 750, QAJA6
422: 300, K2J44
423: 560, K4K62
424: 441, K54K7
425: 446, K5T88
426: 673, K5QKJ
427: 349, K82QK
428: 440, K8TQ8
429: 325, K949J
430: 617, K95AK
431: 382, K995T
432: 640, KT2QQ
433: 681, KTJTQ
434: 732, KJ3K2
435: 330, KJ665
436: 373, KQ353
437: 477, KQ7JQ
438: 335, KQTK6
439: 772, KK7A8
440: 535, KKQT7
441: 998, KA575
442: 729, KAK57
443: 699, A394A
444: 211, A3A92
445: 493, A447Q
446: 317, A448T
447: 338, A4822
448: 887, A4Q46
449: 266, A4QQ6
450: 778, A4AJT
451: 847, A6TJT
452: 969, A8T82
453: 127, A92QQ
454: 138, AJ2A3
455: 442, AJ443
456: 652, AJT44
457: 37, AK747
458: 213, AA2TJ
459: 900, 22388
460: 651, 23293
461: 228, 23J23
462: 263, 24727
463: 679, 29442
464: 512, 2J442
465: 506, 2JJ2K
466: 635, 3223K
467: 485, 33955
468: 362, 33Q66
469: 869, 33Q8Q
470: 865, 34483
471: 190, 35Q5Q
472: 957, 37TT7
473: 903, 38558
474: 522, 388J3
475: 544, 3T34T
476: 119, 3JQQ3
477: 273, 3JAA3
478: 680, 3K23K
479: 15, 3K6K3
480: 798, 42747
481: 374, 4334J
482: 519, 44322
483: 225, 4433Q
484: 296, 443KK
485: 702, 44J5J
486: 970, 44QQ3
487: 193, 474A7
488: 85, 48854
489: 245, 49K4K
490: 77, 4T42T
491: 5, 4T4QQ
492: 246, 4JJ48
493: 299, 4QTQT
494: 875, 4QKK4
495: 226, 53577
496: 255, 53993
497: 646, 54225
498: 611, 54542
499: 143, 54J45
500: 120, 55646
501: 683, 55Q6Q
502: 217, 56AA6
503: 720, 58533
504: 152, 58778
505: 256, 59925
506: 197, 5T5TK
507: 385, 5KJ5K
508: 889, 63365
509: 994, 63399
510: 807, 6556A
511: 3, 66323
512: 871, 66343
513: 68, 66JTJ
514: 794, 67746
515: 983, 68262
516: 529, 68A6A
517: 980, 6969J
518: 248, 6T226
519: 737, 6T4T4
520: 739, 6TT6J
521: 906, 6J633
522: 905, 6Q6QA
523: 914, 6QQ96
524: 59, 6K8K8
525: 870, 6AQQA
526: 926, 72275
527: 318, 73376
528: 115, 74Q4Q
529: 391, 75997
530: 644, 76363
531: 826, 76687
532: 986, 77J22
533: 603, 77JTT
534: 576, 79669
535: 430, 7T4T4
536: 150, 7T97T
537: 716, 7QA7A
538: 530, 7KA7K
539: 765, 7A72A
540: 901, 82J28
541: 796, 8338K
542: 29, 868JJ
543: 315, 88T77
544: 372, 88J3J
545: 605, 88K2K
546: 966, 89589
547: 751, 898A9
548: 861, 89K89
549: 400, 8J9J9
550: 866, 8Q585
551: 562, 93T3T
552: 961, 99323
553: 740, 993K3
554: 259, 994AA
555: 159, 99646
556: 88, 9988J
557: 510, 9KTK9
558: 541, T4TA4
559: 977, T55TJ
560: 944, T6T99
561: 322, T85T8
562: 21, TTJJK
563: 386, TJT33
564: 275, TA77T
565: 443, TAA3T
566: 899, J226J
567: 954, J22TT
568: 933, J2J42
569: 780, J2AA2
570: 647, J2AAJ
571: 175, J34J4
572: 788, J399J
573: 600, J4TJT
574: 67, J6A6A
575: 425, J77KK
576: 564, J787J
577: 846, J9797
578: 496, JT2TJ
579: 592, JJQQK
580: 129, JQ5QJ
581: 124, JAQQA
582: 785, Q22Q6
583: 66, Q282Q
584: 7, Q2Q42
585: 559, Q33Q6
586: 6, Q343Q
587: 309, Q44TT
588: 657, Q4664
589: 932, Q54Q5
590: 185, Q5Q5J
591: 136, Q7447
592: 262, Q98Q9
593: 746, Q9T9Q
594: 992, QT66T
595: 164, QQ6T6
596: 620, QQ6KK
597: 339, K29K9
598: 625, K2JJK
599: 670, K2K2T
600: 815, K3K39
601: 963, K45K5
602: 360, K4K22
603: 490, K6AKA
604: 55, K6AA6
605: 403, K75K5
606: 181, K99QQ
607: 827, KJ4JK
608: 733, KQ6Q6
609: 809, KK9AA
610: 285, KKQJQ
611: 745, A2288
612: 649, A355A
613: 885, A3Q3A
614: 755, A4KAK
615: 27, A7799
616: 706, A9A59
617: 69, ATT8A
618: 340, ATT9A
619: 634, AA644
620: 65, AATJT
621: 428, 222A3
622: 109, 22325
623: 488, 227J2
624: 577, 22J52
625: 223, 22A28
626: 408, 23272
627: 367, 266Q6
628: 663, 27252
629: 810, 28886
630: 908, 2888J
631: 593, 288A8
632: 517, 28Q22
633: 684, 2TTJT
634: 224, 2JA22
635: 278, 2Q224
636: 145, 2K22Q
637: 352, 2KKK5
638: 803, 333J8
639: 700, 333JA
640: 96, 33453
641: 333, 33934
642: 982, 33J32
643: 675, 37335
644: 554, 37Q33
645: 4, 39666
646: 151, 3T338
647: 643, 3J353
648: 188, 3QQQJ
649: 935, 3K334
650: 218, 3A633
651: 585, 42434
652: 790, 42449
653: 76, 42844
654: 58, 43A44
655: 393, 444T3
656: 249, 44634
657: 820, 44864
658: 713, 44QT4
659: 406, 44K48
660: 47, 46626
661: 773, 46J44
662: 812, 47A44
663: 260, 48QQQ
664: 112, 49399
665: 561, 494J4
666: 575, 4999Q
667: 814, 4A2AA
668: 431, 556Q5
669: 301, 5J55T
670: 356, 5JAAA
671: 884, 5A5T5
672: 776, 63222
673: 460, 64999
674: 572, 65TTT
675: 789, 663K6
676: 232, 66569
677: 70, 6665J
678: 735, 666J8
679: 472, 666JT
680: 726, 666JK
681: 595, 66976
682: 759, 68T88
683: 839, 69664
684: 893, 69668
685: 997, 69959
686: 545, 6J222
687: 494, 6Q566
688: 207, 6K668
689: 775, 727A7
690: 582, 75559
691: 959, 75779
692: 158, 76787
693: 971, 76Q77
694: 51, 77792
695: 660, 77793
696: 470, 777KA
697: 106, 77827
698: 513, 7TATT
699: 667, 7J7T7
700: 302, 7Q5QQ
701: 586, 7QA77
702: 822, 7KKK2
703: 868, 7KKKA
704: 972, 82878
705: 551, 8388Q
706: 13, 83Q33
707: 178, 86667
708: 525, 86838
709: 62, 883T8
710: 93, 88J8Q
711: 424, 88K48
712: 235, 88A48
713: 768, 89Q88
714: 743, 8QQQJ
715: 444, 8A88K
716: 705, 92226
717: 54, 92666
718: 413, 93A33
719: 996, 9666Q
720: 364, 9929J
721: 294, 99963
722: 475, 9J959
723: 201, 9Q222
724: 610, 9Q959
725: 220, 9KKJK
726: 964, 9KA99
727: 398, T2TT4
728: 445, T3TTA
729: 177, T3AAA
730: 462, T5455
731: 704, T6636
732: 187, T8TJT
733: 580, T9TT4
734: 87, TT6AT
735: 686, TTT98
736: 147, TTTK9
737: 229, TJTT3
738: 801, TKJKK
739: 265, TKK6K
740: 131, TKKK3
741: 728, TKATT
742: 504, J2228
743: 573, J22T2
744: 162, J333T
745: 370, J3666
746: 137, J4KKK
747: 45, J5565
748: 834, J5575
749: 305, J6266
750: 952, J6669
751: 387, J8838
752: 157, J9333
753: 923, J99A9
754: 480, JTATT
755: 930, JQ777
756: 840, Q22J2
757: 208, Q3393
758: 909, Q444J
759: 862, Q59QQ
760: 848, Q6222
761: 189, Q6444
762: 552, Q7577
763: 350, Q7JQQ
764: 777, Q9939
765: 405, QT888
766: 860, QJJJT
767: 819, QJQ4Q
768: 328, QQ2Q7
769: 645, QA9QQ
770: 936, QAQQK
771: 238, K22J2
772: 141, K77T7
773: 337, K7TTT
774: 767, K8885
775: 604, K8KKA
776: 99, K9599
777: 989, K9J99
778: 283, KJK6K
779: 781, KQKAK
780: 427, KKK29
781: 968, KKA9K
782: 253, KAK4K
783: 390, A2KAA
784: 630, A5999
785: 272, A9299
786: 63, AT2AA
787: 376, ATA6A
788: 943, ATAA8
789: 447, AJ555
790: 498, AJAA6
791: 116, AQQQ7
792: 423, AQQQ8
793: 690, AA23A
794: 227, AA36A
795: 104, AA3AQ
796: 139, AA4AQ
797: 383, AAAKQ
798: 297, 22266
799: 601, 22525
800: 287, 22727
801: 375, 22999
802: 341, 23322
803: 308, 23323
804: 107, 24244
805: 198, 28288
806: 57, 2T2TT
807: 250, 2J22J
808: 626, 33993
809: 854, 35335
810: 793, 35535
811: 282, 36363
812: 277, 39939
813: 890, 3J3J3
814: 346, 3QQ3Q
815: 672, 44J4J
816: 101, 44QQQ
817: 167, 44AA4
818: 397, 49994
819: 230, 52255
820: 371, 55888
821: 433, 55KKK
822: 714, 58585
823: 668, 5TT5T
824: 853, 5J55J
825: 553, 62266
826: 568, 63636
827: 94, 64446
828: 590, 66556
829: 920, 66888
830: 323, 66K6K
831: 524, 68866
832: 252, 69966
833: 638, 6T6T6
834: 203, 6T6TT
835: 609, 6Q6Q6
836: 627, 6AA66
837: 650, 72277
838: 75, 73337
839: 708, 74774
840: 658, 75575
841: 774, 75577
842: 858, 77337
843: 787, 777JJ
844: 239, 77997
845: 439, 79799
846: 804, 7QQQ7
847: 757, 82228
848: 451, 87788
849: 950, 88333
850: 581, 888TT
851: 701, 88J8J
852: 469, 8Q8QQ
853: 384, 8A8A8
854: 103, 8AAA8
855: 176, 92292
856: 148, 94944
857: 286, 95599
858: 685, 98998
859: 219, 99888
860: 748, 99A9A
861: 74, 9T9TT
862: 916, 9KK9K
863: 993, T77T7
864: 664, T8T8T
865: 608, TT222
866: 845, TTQQQ
867: 199, TJTTJ
868: 808, TQTQT
869: 653, TKKTT
870: 805, J6J66
871: 418, J999J
872: 836, JQQJQ
873: 222, Q22QQ
874: 896, Q888Q
875: 195, QQQ55
876: 754, QQAAQ
877: 692, QKQKQ
878: 677, K44KK
879: 204, K4K44
880: 399, K5K55
881: 25, K88K8
882: 867, K8K8K
883: 327, K999K
884: 161, KJKKJ
885: 824, KK777
886: 770, KKK22
887: 244, KKKQQ
888: 291, KAKAK
889: 329, A5A55
890: 354, ATAAT
891: 927, AA33A
892: 14, AA6A6
893: 976, AA99A
894: 26, AAJAJ
895: 144, 22223
896: 46, 22225
897: 270, 2222J
898: 169, 2222Q
899: 549, 22422
900: 121, 22622
901: 221, 22722
902: 415, 22T22
903: 795, 22A22
904: 314, 23333
905: 874, 29999
906: 534, 2AAAA
907: 578, 33335
908: 50, 3333J
909: 599, 33633
910: 718, 33733
911: 146, 33T33
912: 279, 3KKKK
913: 863, 44446
914: 500, 4444Q
915: 661, 4444K
916: 540, 444T4
917: 456, 44544
918: 60, 46666
919: 216, 4QQQQ
920: 78, 4A444
921: 717, 53555
922: 579, 54555
923: 945, 55255
924: 113, 55559
925: 872, 5555A
926: 202, 555T5
927: 756, 55Q55
928: 711, 5J555
929: 184, 5K555
930: 574, 66266
931: 34, 66366
932: 910, 66665
933: 206, 66668
934: 412, 6666K
935: 102, 66676
936: 353, 66696
937: 191, 666Q6
938: 502, 6J666
939: 694, 6QQQQ
940: 19, 77737
941: 894, 77747
942: 342, 77757
943: 928, 777T7
944: 173, 777J7
945: 410, 77877
946: 298, 78888
947: 507, 7Q777
948: 492, 88828
949: 613, 88838
950: 48, 88848
951: 36, 88868
952: 269, 88885
953: 326, 8888J
954: 166, 88988
955: 962, 8T888
956: 450, 93333
957: 763, 94444
958: 288, 99899
959: 922, 99959
960: 459, 99979
961: 377, 99J99
962: 895, 9Q999
963: 703, 9QQQQ
964: 641, 9KKKK
965: 769, 9AAAA
966: 378, TT2TT
967: 23, TT9TT
968: 422, TTT4T
969: 126, TTTT7
970: 154, TTTT8
971: 501, TTJTT
972: 907, TTQTT
973: 81, J4444
974: 589, JJ8JJ
975: 473, Q5QQQ
976: 114, Q7QQQ
977: 527, QQTQQ
978: 509, QQQQ2
979: 8, QQQQ3
980: 851, QQQQ8
981: 761, QQQQJ
982: 633, QQAQQ
983: 722, QKKKK
984: 734, K7777
985: 310, KQQQQ
986: 662, KK4KK
987: 215, KKK8K
988: 741, KKKK5
989: 453, KKKK7
990: 281, KKKKJ
991: 697, KKAKK
992: 22, A3333
993: 543, ATTTT
994: 724, AJAAA
995: 882, AA5AA
996: 254, AAAQA
997: 476, AAAA7
998: 17, AAAA8
999: 940, AAAAT
1000: 666, JJJJJ
